dataset,seed,variant,ARI,NMI,AMI,Homogeneity,V_measure,Silhouette
LN_D1,1234,E0_SMART_EXACT,0.16898441484251314,0.33249432427455244,0.32769312207704376,0.39520384344798865,0.33249432427455244,0.08988142013549805
LN_D1,1234,E1_ARISE_GRAPH_ONLY,0.17580950112331117,0.3337561395487464,0.32895779443885664,0.3966248308992949,0.3337561395487464,0.0837867259979248
LN_D1,1234,E2_ARISE_DUAL_RNA,0.18879540664142624,0.3387154554383738,0.3339792347358054,0.40454240914175027,0.3387154554383738,0.08585573732852936
LN_D1,1234,E3_ARISE_HIERARCHICAL_FUSION,0.16312359635513052,0.32847683757012563,0.32370533230953236,0.39554911571783014,0.32847683757012563,0.09375333786010742
LN_D1,1234,ARISE_EXACT,0.24633976467676386,0.3362783875649892,0.3313208035511982,0.38360363628112504,0.3362783875649892,0.20441614091396332
LN_D1,42,E0_SMART_EXACT,0.17272159001025794,0.31932166626607617,0.31443939028126355,0.3810957896827668,0.31932166626607617,0.09282944351434708
LN_D1,42,E1_ARISE_GRAPH_ONLY,0.18539607914382666,0.33424888493399013,0.32942951405633186,0.39552727819016775,0.33424888493399013,0.08352541923522949
LN_D1,42,E2_ARISE_DUAL_RNA,0.1940393266554391,0.3447996468960519,0.34009623297452257,0.4114640585351103,0.3447996468960519,0.09560274332761765
LN_D1,42,E3_ARISE_HIERARCHICAL_FUSION,0.1613471936815081,0.3282788016279464,0.3234849015483412,0.3938023863135683,0.32827880162794637,0.09846947342157364
LN_D1,42,ARISE_EXACT,0.2650848057258983,0.348030400002283,0.34310266453778476,0.3936580392106242,0.34803040000228297,0.2065361738204956
LN_D1,2024,E0_SMART_EXACT,0.15292057641493761,0.3272298947252553,0.32244935839806227,0.3941134725156622,0.3272298947252554,0.08647100627422333
LN_D1,2024,E1_ARISE_GRAPH_ONLY,0.1647816528407388,0.3222066957999325,0.3173816260631733,0.38727501249785434,0.3222066957999325,0.08983586728572845
LN_D1,2024,E2_ARISE_DUAL_RNA,0.18415890134529547,0.33396371963670546,0.32916230459902773,0.39633522372495994,0.3339637196367054,0.08575284481048584
LN_D1,2024,E3_ARISE_HIERARCHICAL_FUSION,0.1694053964900312,0.32454036748684684,0.3197044503751783,0.3880933340940474,0.32454036748684684,0.08511876314878464
LN_D1,2024,ARISE_EXACT,0.26328326361954846,0.34600341834388604,0.3410287561843386,0.38984131151593765,0.34600341834388604,0.20322979986667633
